LC.X,LC.Y,LF1.X,LF1.Y,LF2.X,LF2.Y,LF3.X,LF3.Y,LF4.X,LF4.Y,LF5.X,LF5.Y,LCD,RC.X,RC.Y,RF1.X,RF1.Y,RF2.X,RF2.Y,RF3.X,RF3.Y,RF4.X,RF4.Y,RF5.X,RF5.Y,RCD,Frame Number, Geture Number
284,125,256,86,324,114,308,72,290,64,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
284,125,278,68,256,86,326,114,310,74,290,62,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
284,125,278,66,258,84,324,114,310,74,292,64,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
284,125,256,84,324,112,308,72,290,60,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
285,125,278,66,256,84,324,112,308,72,294,64,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
284,125,256,84,324,114,308,72,292,64,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
285,125,278,66,256,84,326,114,308,72,292,60,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
285,125,278,66,258,84,324,114,308,72,292,62,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
285,126,278,68,256,84,326,114,308,72,290,64,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
284,126,276,68,256,84,324,114,308,72,290,62,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
284,126,256,84,324,114,310,74,290,62,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5
284,126,256,86,324,114,310,74,290,64,0,0,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
285,127,256,88,324,112,308,74,292,64,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5
285,129,273,72,256,88,326,120,308,74,294,66,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5
285,131,256,90,326,120,310,78,292,66,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5
285,137,256,96,326,124,310,84,292,72,0,0,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5
285,143,256,102,330,126,308,88,292,78,0,0,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5
285,144,271,86,254,106,326,126,308,88,290,80,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5
284,147,269,90,252,108,326,130,308,94,292,84,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5
283,151,252,112,327,134,304,96,286,84,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5
284,153,274,94,254,114,326,134,306,98,288,88,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5
283,157,252,118,324,138,306,102,286,92,0,0,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5
