LC.X,LC.Y,LF1.X,LF1.Y,LF2.X,LF2.Y,LF3.X,LF3.Y,LF4.X,LF4.Y,LF5.X,LF5.Y,LCD,RC.X,RC.Y,RF1.X,RF1.Y,RF2.X,RF2.Y,RF3.X,RF3.Y,RF4.X,RF4.Y,RF5.X,RF5.Y,RCD,Frame Number, Geture Number
282,208,294,156,280,158,266,156,324,182,316,152,1060,395,209,359,183,422,166,410,154,398,148,0,0,1076,1,1
281,206,280,156,266,156,324,182,314,148,296,138,1060,396,209,362,184,422,166,410,154,396,146,0,0,1076,2,1
280,209,275,160,266,158,322,182,304,164,294,144,1060,396,211,362,184,408,152,396,146,0,0,0,0,1076,3,1
279,206,282,144,264,156,322,182,306,162,294,138,0,395,211,381,162,362,184,410,154,396,148,0,0,1079,4,1
279,205,282,146,266,154,324,182,304,164,294,138,1069,395,211,382,150,362,184,422,166,396,148,0,0,1079,5,1
279,206,280,148,262,154,324,182,304,164,296,140,1069,396,212,382,152,362,186,410,154,396,150,0,0,1079,6,1
278,207,280,148,262,158,324,184,302,170,295,140,1069,395,210,384,158,362,184,424,166,410,156,396,150,1079,7,1
279,206,278,148,260,156,326,184,302,168,295,140,1069,395,210,384,160,364,188,422,166,410,156,396,148,1079,8,1
279,206,280,148,262,158,324,182,304,164,294,140,1069,395,211,382,156,362,184,422,166,396,148,0,0,1079,9,1
279,205,280,148,264,154,322,182,304,166,295,140,1069,395,212,360,184,422,168,410,156,396,148,0,0,1079,10,1
279,206,280,148,264,154,322,182,302,168,296,140,1069,395,213,380,154,359,185,422,166,410,156,396,148,1079,11,1
279,206,280,150,266,154,322,182,304,164,292,144,1069,395,212,382,154,360,184,424,168,410,156,396,150,1079,12,1
277,208,264,154,320,182,304,168,278,148,0,0,1069,397,214,361,183,424,168,410,154,398,150,0,0,1079,13,1
275,207,262,154,318,182,298,170,290,148,0,0,0,399,214,386,160,366,186,428,170,414,154,400,148,1079,14,1
272,207,260,154,316,182,296,172,276,142,0,0,1063,402,214,392,162,368,186,430,168,416,154,402,148,1079,15,1
273,199,269,138,256,154,314,180,304,144,288,136,1060,404,212,394,156,370,186,432,168,406,148,0,0,1076,16,1
272,201,272,142,256,156,312,180,302,144,286,136,0,406,213,372,190,420,156,403,156,392,154,0,0,1079,17,1
271,203,252,168,314,180,296,158,284,136,0,0,1069,409,213,396,156,376,188,438,168,412,150,0,0,1076,18,1
267,202,264,148,252,154,308,182,294,156,282,136,0,412,213,402,156,380,190,428,154,416,150,0,0,1079,19,1
264,201,264,140,248,150,306,180,294,146,276,138,1063,417,215,406,162,382,194,430,154,420,152,0,0,1079,20,1
262,203,261,140,246,154,306,180,284,164,278,136,0,418,214,408,158,384,190,448,166,434,154,0,0,1079,21,1
260,202,262,140,242,164,302,182,280,170,274,134,1069,424,215,392,194,438,154,0,0,0,0,0,0,1079,22,1
256,203,254,152,238,150,298,180,280,158,270,138,0,427,210,415,154,396,188,434,146,0,0,0,0,1073,23,1
253,202,236,156,294,182,280,146,268,136,0,0,0,431,211,424,152,400,188,436,146,0,0,0,0,1076,24,1
248,201,248,140,232,152,290,180,272,160,262,138,0,436,211,408,190,468,188,444,146,0,0,0,0,1073,25,1
246,201,228,154,286,180,274,144,258,134,0,0,1069,440,213,412,190,462,160,450,146,0,0,0,0,1079,26,1
244,201,242,140,228,154,286,180,270,148,256,138,0,443,211,414,190,480,174,466,162,450,146,0,0,1079,27,1
239,201,236,144,218,150,280,180,266,150,252,136,0,449,212,444,152,422,190,482,190,474,156,458,150,1083,28,1
239,200,234,140,218,156,276,178,266,144,250,136,0,450,213,424,188,462,152,448,152,0,0,0,0,1083,29,1
234,202,230,144,214,154,274,180,258,158,246,136,0,454,213,428,182,492,178,480,158,466,162,452,154,1086,30,1
231,202,228,140,212,158,270,182,254,160,242,136,0,457,213,456,154,430,182,484,160,472,150,0,0,1086,31,1
229,201,226,148,210,160,268,178,254,146,240,138,0,459,213,434,182,492,190,472,156,458,154,0,0,1078,32,1
224,198,220,140,202,160,262,180,248,144,232,134,0,463,214,464,156,438,184,478,150,0,0,0,0,1083,33,1
220,197,214,140,198,164,258,178,240,142,230,134,0,467,216,466,164,440,184,504,186,482,154,0,0,1083,34,1
216,195,207,140,192,154,254,178,238,142,226,134,0,470,217,472,160,446,186,484,154,0,0,0,0,0,35,1
214,196,194,156,250,180,238,144,222,132,0,0,0,473,216,474,156,448,184,510,188,500,172,486,154,0,36,1
211,196,206,142,190,154,248,174,232,144,218,132,0,477,219,452,186,510,200,504,166,492,164,480,156,1069,37,1
208,195,186,156,244,176,232,144,216,134,0,0,0,480,222,454,190,504,186,496,164,484,160,0,0,1079,38,1
205,195,198,140,182,156,240,178,226,142,214,132,0,486,223,488,172,462,192,520,200,512,182,502,164,1073,39,1
204,195,191,140,180,164,240,178,222,142,212,134,0,488,223,464,192,514,182,504,164,0,0,0,0,1083,40,1
199,195,192,140,178,158,234,178,220,144,206,134,0,494,224,470,194,528,196,520,176,508,172,494,166,1086,41,1
196,195,174,158,234,176,216,144,204,132,0,0,0,498,227,500,170,476,194,512,168,0,0,0,0,1086,42,1
194,194,172,154,230,178,214,140,200,132,0,0,0,501,227,476,198,536,198,504,166,0,0,0,0,1083,43,1
191,195,168,156,228,176,210,144,198,136,0,0,0,505,228,482,196,540,200,530,186,520,176,506,174,1083,44,1
188,194,164,156,222,176,208,142,194,130,0,0,0,511,226,486,194,550,190,536,182,524,176,512,170,1093,45,1
184,194,173,144,162,154,218,176,202,142,190,130,1083,513,230,494,190,516,180,0,0,0,0,0,0,1090,46,1
180,193,172,140,158,152,216,174,198,144,186,130,0,518,227,522,174,496,196,536,166,0,0,0,0,1093,47,1
178,192,170,140,156,154,212,176,184,130,0,0,0,520,229,502,192,556,200,534,176,0,0,0,0,1097,48,1
172,193,152,154,206,180,178,130,0,0,0,0,1086,526,230,508,194,554,182,542,170,0,0,0,0,0,49,1
168,193,200,180,172,132,0,0,0,0,0,0,0,532,229,510,196,566,204,558,184,546,178,538,176,0,50,1
161,192,152,140,140,154,192,178,166,130,0,0,1097,538,227,518,196,574,198,554,172,544,172,0,0,0,51,1
156,193,134,156,184,178,160,130,0,0,0,0,1097,542,230,524,200,578,204,550,174,0,0,0,0,0,52,1
154,193,132,156,168,140,156,134,0,0,0,0,1097,545,228,530,192,562,172,0,0,0,0,0,0,0,53,1
145,192,122,152,148,132,0,0,0,0,0,0,1097,554,227,538,194,586,208,576,166,0,0,0,0,0,54,1
141,195,120,164,142,130,0,0,0,0,0,0,1100,559,227,544,196,586,186,578,166,0,0,0,0,0,55,1
138,195,138,130,0,0,0,0,0,0,0,0,0,563,226,546,196,592,182,580,164,0,0,0,0,0,56,1
131,196,132,136,0,0,0,0,0,0,0,0,0,568,227,556,194,600,208,590,166,0,0,0,0,0,57,1
122,194,146,176,120,130,0,0,0,0,0,0,0,573,226,560,194,606,202,592,166,0,0,0,0,0,58,1
115,193,114,128,0,0,0,0,0,0,0,0,0,577,225,562,194,602,164,0,0,0,0,0,0,0,59,1
112,191,90,154,110,128,0,0,0,0,0,0,0,579,226,562,196,604,164,0,0,0,0,0,0,0,60,1
107,192,104,130,0,0,0,0,0,0,0,0,0,585,225,572,196,612,184,604,164,0,0,0,0,0,61,1
100,189,94,126,0,0,0,0,0,0,0,0,0,591,222,578,194,614,164,0,0,0,0,0,0,0,62,1
99,192,90,128,0,0,0,0,0,0,0,0,0,592,225,576,196,608,164,0,0,0,0,0,0,0,63,1
93,192,86,128,0,0,0,0,0,0,0,0,0,597,225,616,176,602,176,0,0,0,0,0,0,0,64,1
85,196,78,130,0,0,0,0,0,0,0,0,0,592,241,624,190,0,0,0,0,0,0,0,0,1093,65,1
74,198,68,138,0,0,0,0,0,0,0,0,0,568,275,0,0,0,0,0,0,0,0,0,0,1086,66,1
64,196,56,140,0,0,0,0,0,0,0,0,0,570,276,0,0,0,0,0,0,0,0,0,0,1090,67,1
62,195,48,132,0,0,0,0,0,0,0,0,0,617,230,632,180,0,0,0,0,0,0,0,0,0,68,1

0
